objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,embed_url
BNFCopte13,Copte 13,,1178-1180,,,,,,Bibliothèque nationale de France,,Image;StillImage,application/manifest+json,,,,iiif_image,https://gallica.bnf.fr/iiif/ark:/12148/btv1b52508833q/manifest.json,,,,,
ICPMs Copte Arabe Ms. 1,Ms Copte Arabe Ms. 1,,1250,,,,,,Institut catholique,,,,,,,,,,,,,https://incipit.icp.fr/assets/pages/embed.php?id=4790&color=_dark&page=1
